No.,Title,Brand/ Manufacturer,Date,UPC codes,model.id,Summary,Repair Number,,Unnamed: 5,brand_names,retail_names,manufacturer,Title
8843,Play Gyms Repaired by American Toy & Furniture and Sears,Play,1/26/1983 0:00,,WASHINGTON,"Play Gyms Repaired by American Toy & Furniture and Sears NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm is out of business. Do not use these products. Please discard or destroy these products. FOR IMMEDIATE RELEASE Originally issued January 26, 1983; Revised July 10, 2001 Release # 83-003 CPSC Announces Repair Program For Children's Play Gyms WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, American Toy & Furniture Company, Inc., Chicago, Illinois, and Sears, Roebuck and Co., today announced a voluntary repair program of 30,000 children's play gyms sold from 1976 through July, 1980. There have been no reports of incidents or injuries involving this gym. However, there have been three reports of suffocation from infant head or neck entrapment between the steps of the ladder of a play gym similar in appearance, but not sold by Sears and not manufactured by American Toy & Furniture. While the Sears play gym has several features which make accidents less likely, a repair program is being conducted as an additional precaution. The product made by American Toy & Furniture was sold nationwide only through Sears catalogues for about $30. The product was sold under the name ""Wood and Hardboard Play Gym."" It consists of a hollow box, made of fiberboard and wood about 30 inches high which supports a two-step wooden ladder on one side held in place by two brackets and a short slide on the other. Gyms purchased after July, 1980 are not affected. They incorporate a newly designed ladder. Consumers owning affected gyms should discontinue use of the ladder. Firm is out of business. For further information about this recall, consumers may call the U.S. Consumer Product Safety Commission's toll-free Hotline on 800-638-CPSC.",83003,,https://www.cpsc.gov/Recalls/1983/CPSC-Announces-Repair-Program-For-Childrens-Play-Gyms,,,,Play Gyms Repaired by American Toy & Furniture and Sears
8845,Squeeze Toys Recalled by Crib Mates & Baby World,Squeeze,12/16/1982 0:00,,WASHINGTON,"Squeeze Toys Recalled by Crib Mates & Baby World NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 16, 1982 Release # 82-054 Squeeze Toys Being Recalled Because Of Potential Choking Hazard WASHINGTON, D.C. -- In cooperation with the Consumer Product Safety Commission, two firms announced voluntary recalls of squeeze toys because similar shaped squeeze toys manufactured by another company have been involved in choking deaths. While the squeeze toys described in these recalls have not been involved in any known choking incidents, the handles are small enough to lodge in an infant's throat and obstruct the airway. Consumers should remove these products from use immediately. Crib Mates Inc., of Hollis, New York is recalling approximately 19,000 of the following squeeze toys which have been distributed nationwide in the last two years: Popeye character head on red handle Olive Oyl character head on red handle The toys are made of soft, easily compressed plastic material, are in a package bearing the number P 7932 and are sold under the brand name: Popeye. Stamped on the back of the head is ""King Features Syndicate, Inc. Crib Mates 1979"". No other Popeye or Crib Mates squeeze toys are involved in this recall. Consumers should remove these products from use immediately and return them to the retailer where purchased for full refund. Retailers should remove the toys from sale immediately and return to Crib Mates for a refund. Baby World Company, Inc. of Great Neck, New York and Grafton, West Virginia is recalling approximately 64,800 ""Squeeze Me"" animal squeeze toys which were sold on a nationwide basis from 1980 until the company ceased distribution in 1981. The toys are: lion's head with bow tie on handle cat's head with bow tie on handle dog's head with bow tie on handle. The toys are made of soft, easily compressed plastic material and were sold under the brand name ""Squeeze Me"" in a plastic bag with a cardboard label. The label bears the style number ""7576' and the name ""Baby World Company, Inc., Great Neck, NY."" The overall length of the toys is 4-3/4"". The toys have ends measuring about 7/8"" in diameter and handles that are approximately 2-l/4"" in length. Consumers should remove these products from use immediately and return them to the retailer where purchased for full refund. If desired, consumers may return the squeeze toy to Baby World Company, Inc., Pike Street, Grafton, West Virginia 26354, telephone (304) 265-2120, for full refund. Retailers should remove the toys from sale immediately and return them to Baby World Company, Inc., Grafton, West Virginia. For further information, consumers may call CPSC's toll-free Hotline at 800-638-CPSC.",82054,,https://www.cpsc.gov/Recalls/1982/Squeeze-Toys-Being-Recalled-Because-Of-Potential-Choking-Hazard,,,,Squeeze Toys Recalled by Crib Mates & Baby World
8846,CPSC Warns Of Explosion Hazard with Fireplace-Powered Water Heaters,CPSC,11/18/1982 0:00,,,"November 18, 1982Release #82-049 CPSC Warns Of Explosion Hazard with Fireplace-Powered Water Heaters Washington, D.C. - The U.S. Consumer Product Safety Commission today warned consumers of an explosion hazard with certain fireplace-powered water heaters used to supplement home heating systems. Units involved were sold under the brand names ""Hydrohearth,"" ""Hydroplace,"" and ""Aqua Grate."" Manufacturers of these units - Ridgeway Steel Fabricators, Inc. of Ridgeway, Pennsylvania and Shark Manufacturing Corporation of Greenlawn, New York are no linger in business. These devices are made of tubular steel or steel plate and resemble a fireplace grate or liner. Plumbing connects the unit to the hot-water heating system of the home. When these is a fire in the fireplace, furnace heat is either supplemented or replaced entirely by heat generated through the fireplace. Slowing or stopping the flow of water through the unit (resulting from circulator pump failure, electrical power failure, or frozen pipes) may result in water in the unit boiling into steam. If the unit does not have an adequate pressure relief device, properly installed, the build-up of pressure can cause an explosion. CPSC urges consumers who have one of these units to have its installation checked by a qualified, licensed plumber who has specific knowledge of boilers, water pumps, pipe freezing problems, and pressure relief valves. Of particular importance is the location, pressure rating, and flow capacity of the safety valve. If there is no safety valve, have one installed with a pressure rating and flow capacity suitable for any type of fire. The safety valve should be installed in the outlet piping as near to the unit as possible without risking damage due to overheating. It should be oriented according to the valve manufacturer's recommendation to avoid safety valve clogging. The outlet pipe from the unit to the safety valve should contain no valves or other restrictions. The safety valve should be checked periodically by triggering it to be sure that it will relieve pressure. This should be done with caution, by a knowledgeable person, to avoid hot water scalding. Other fireplace-powered water heaters that contain built-in safety devices such as burst disks, fusible plugs, or blowout plugs, are not subject to this warning. Information on the devices involved and what owners of these devices should do can be obtained by calling the Commission's toll-free Hotline at 800-638-CPSC",82049,,https://www.cpsc.gov/Recalls/1982/CPSC-Warns-Of-Explosion-Hazard-with-Fireplace-Powered-Water-Heaters,Happy Mates,,,CPSC Warns Of Explosion Hazard with Fireplace-Powered Water Heaters
8848,Squeeze Toys Recalled by Electra-Plastics,Squeeze,11/10/1982 0:00,,WASHINGTON,"Squeeze Toys Recalled by Electra-Plastics NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 10, 1982 Release # 82-047 Happy-Mates Squeeze Toy Recall WASHINGTON, D.C. -- In cooperation with the Consumer Product Safety Commission, Electra-Plastics, Inc. of Port Newark, New Jersey, today announced a voluntary recall of four ""Happy-Mates"" squeeze toys because they are small enough to lodge in the throat of a child and obstruct the airway thus causing choking and/or suffocation. Although these particular toys have not been involved in any choking incident known to CPSC, similar shaped toys have been involved in choking deaths. Between 8 pnd 9 thousand of these toys have been distributed primarily in the northeastern states during the last 2 years. All four squeeze toys have bulbous or flared ends measuring 3/4"" to 1 l/4"" in diameter and handles that are 2 3/4"" long. Overall length of the toys is.5"". The toys are: orange lion's head with bow tie on orange handle yellow cat's head with bow tie on yellow handle green frog's head with bow tie on white handle pink pig's head with bow tie 'on pink handle The toys are made of soft easily compressed plastic material and are packaged and sold under the brand name ""Happy Mates."" They are stamped ""Taiwan"" on the squeaky portion. The packaging bears the number H702. Consumers should remove these products from use immediately and return to the retailer where purchased for full refund. Or consumers may return the toys to Electra-Plastics, Inc., Bldg. 305, Navy and Neptune Streets, Port Newark, N.J. 07114 for a full refund. The telephone number is 201-589-2525. Retailers should remove the toys from sale immediately and return to Electra-Plastics, Inc. for a full refund.",82047,,https://www.cpsc.gov/Recalls/1982/Happy-Mates-Squeeze-Toy-Recall,McDonald's,,,Squeeze Toys Recalled by Electra-Plastics
8849,Playmobil Toys Recalled by McDonald's,Playmobil,11/3/1982 0:00,,WASHINGTON,"Playmobil Toys Recalled by McDonald's NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 3, 1982 Release # 82-046 McDonald's Voluntarily Stops Playmobil Promotion And Recalls WASHINGTON, D.C. -- The Consumer Product Safety Commission announced today that McDonald's Corporation of Oakbrook, Illinois, has voluntarily stopped further Playmobil toy promotion and distribution as of November 1st. McDonald's made this decision immediately after learning that recent tests showed the Playmobil toys failed to comply with CPSC's regulation designed to prevent choking hazards to children under three. The Playmobil toys, which are manufactured by the Schaper Manufacturing Company of Minneapolis, Minnesota, have not been involved in any known choking incidents. Five toys were to be distributed nationwide through approximately 5,800 McDonald's restaurants. The five toys included a Sheriff, Indian, Sheriff's Horse, Umbrella Girl and Farmer. Approximately 10 million of the Sheriff and Indian Playmobil toys in this promotion were actually distributed from October 22nd through November 1st. The plastic toy figures have movable parts and are accompanied by various plastic accessories. Consumers with children under three who received these Playmobil toys should discontinue their use and return the toys to a McDonald's restaurant in exchange for a box of McDonald's cookies, a cone or a refund.",82046,,https://www.cpsc.gov/Recalls/1982/McDonalds-Voluntarily-Stops-Playmobil-Promotion-And-Recalls,,,,Playmobil Toys Recalled by McDonald's
8852,"Contemporary Times ""Stralighter"" Cribs Warning",Contemporary,9/22/1982 0:00,,WASHINGTON,"Contemporary Times ""Stralighter"" Cribs Warning NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 22, 1982 Release # 82-040 Dangerous Baby Cribs WASHINGTON, D.C. -- The Consumer Product Safety Commission today warned consumers that in excess of 1,000 ""Stralighter"" non-full size baby cribs manufactured between 1975 and 1978 by Contemporary Times, Inc., St. Petersburg, Florida, present a neck entrapment hazard. A nine-month-old baby died as a result of asphyxiation when her neck became entrapped in the crib slats. The ""Starlighter"" crib is made of plastic and has hinged fold-down side rails. When the top half of the side rail is folded down, the lower half of the side rail presents a picket fence configuration in which the baby's neck may become entrapped. In addition to the entrapment hazard, the baby may fall out of the crib and sustain injury as a result of improper crib side height. The side rail in its lowest position is below the top of the mattress in its highest position, making it possible for the baby to fall out of the crib. Consumers should immediately discontinue the use of the ""Starlighter"" crib. There is no adequate and feasible ""fix"" for the entrapment hazard. Consumers should not attempt to make such a ""fix"" because it is most likely to present other hazards to babies. Contemporary Times, Inc. is insolvent and undergoing a federal bankruptcy proceeding. The firm has, therefore, refused to recall or repurchase the cribs. The crib was sold nationwide at retail for approximately $200.00.",82040,,https://www.cpsc.gov/Recalls/1982/Dangerous-Baby-Cribs,General Electric,,General Electric,"Contemporary Times ""Stralighter"" Cribs Warning"
8853,Drip Coffeemakers Recalled by GE,Drip,8/26/1982 0:00,,WASHINGTON,"Drip Coffeemakers Recalled by GE NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 26, 1982 Release # 82-035 General Electric Recalls Drip Coffeemakers WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC) the General Electric Company (GE) advises owners of certain GE drip coffeemakers that a potential fire hazard may be present in some units manufactured before June 1978. The hazard may occur when a thermal fuse in the coffeemaker occasionally fails to function as intended during an overheat condition. GE has received over 400 reports of overheating, counter top damage or fires. These incidents have resulted in 11 claims involving hand and foot burns or smoke inhalation. GE estimates that approximately 200,000 of these coffeemakers are still in use. GE has voluntarily instituted a national program to replace the drip coffeemakers in question, Owners of GE coffeemakers are asked to read both the catalog number on the bottom of the coffeemaker and the date code stamped on the outside of the metal blades of the electric plug. If the unit is identified as in the table below, owners should call the GE Answer Center, a 24-hour, toll free service, at l-800-626-2000 for complete information on free replacement. No other coffeemakers or other products are involved. Identification Table Catalog Number Date Code Bl-3385-0, Bl-3382-0 with Date Code between 634 thru 717 Bl-3390-0 with Date Code between 704 thru 717 Bl or B2-3387-0 with Date Code between 618 thru 822 In addition to this announcement, GE will reach owners of the units in question through: Owner Registration Cards Notice to Consumers in Replacement Carafe and Filter Packages Notice to Consumers with Mail-In Orders for Replacement Parts Consumers who identify their drip coffeemakers according to the above table are advised to stop using it, to unplug the unit, and not attempt to disassemble or service it themselves.",82035,,https://www.cpsc.gov/Recalls/1982/General-Electric-Recalls-Drip-Coffeemakers,,,,Drip Coffeemakers Recalled by GE
8855,CPSC Recalls Rattles,CPSC,7/27/1982 0:00,,"BACKGROUND, WASHINGTON","July 27,1982 Release # 82-036 CPSC Recalls Rattles BACKGROUND: - In 1978, the Consumer Product Safety Commission banned rattles that could become caught in infant's throats and cause choking and suffocation. The ban was issued when the Commission became aware of 10 fatalities and 19 choking incidents since 1943. Recently, the Commission has found some banned rattles being sold. WASHINGTON, D.C., In cooperation with the U.S. Consumer Product Safety Commission two firms, The Montgomery Schoolhouse, Inc., Montgomery, Vermont and Schowanek of America, New York, N.Y., have agreed to voluntarily recall banned rattles. Consumers are asked to remove these rattles from use immediately. The Montgomery Schoolhouse, Inc., Montgomery, Vermont, is recalling approximately 61,000 baby rattles. The toys were sold since September, 1981. To date there have been no reported injuries involving Montgomery Schoolhouse rattles. The rattles are made of hardwood. Some have colored parts and some have clear varnish finish. Three of the seven designs recalled have metal bells enclosed in hardwood cages. Some of the rattles were sold in ""blister"" packages with the words ""RATTLE, Heirloom Quality, Hardwood, Childsafe Color' printed on the face. Some were sold in plastic bags with a paper insert which said "" finest Handcrafted Wooden Toys from Vermont"" and the names ""TT Bell Rattle"" or ""TT 5 Disc Rattle."" Others were sold without packaging. Consumers should return the rattles to the retailer where they were purchased in exchange for rattles that meet the federal safety requirements. Or consumers may return the rattles directly to the Montgomery Schoolhouse, Inc., Montgomery, Vermont 05470, for exchange. Retailers are asked to remove these rattles from sale immediately and return them to the Montgomery Schoolhouse, Inc. in exchange for rattles in compliance with federal regulations. Schowanek of America, New York, N.Y., is recalling approximately 2,900 wooden baby rattles imported since 1981. To date there have been no reported injuries involving Montgomery Schoolhouse rattles. The rattles are No. 10875/2, a duck on a handle; No. 10875/33, dumb bell shape; No. 10876/17, bowling pin; 10876/3, dumb bell shape with pieces of wood on the shaft; No. 10876/26 bar bell with 4 wooden rings on the shaft; No. 10876/g handle with head and arms; and No. 10876/19 cylinder with six holes and bell inside (not in picture). Consumers should return these rattles to the place of purchase for refund or exchange. Consumers can also return the rattles directly to Schowanek for a refund. Retailers are asked to remove the rattles from sale immediately and return them to Schowanek for exchange or credit",82036,,https://www.cpsc.gov/Recalls/1982/CPSC-Recalls-Rattles,Gerico,,,CPSC Recalls Rattles
8856,Gerico Baby Back Carriers Recalled Because of Potential Hinge Safety Problem,Gerico,7/13/1982 0:00,,WASHINGTON,"Gerico Baby Back Carriers Recalled Because of Potential Hinge Safety Problem NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Telephone Number & Responding Company Change, and remedy is no longer available. FOR IMMEDIATE RELEASE Originally issued July 13, 1982, Last revised June 15, 2004 Release # 82-031 Gerico Baby Back Carriers Recalled Because of Potential Hinge Safety Problem WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, Gerico, Inc., Denver, Colorado, had announced a voluntary repair program affecting approximately 238,000 ""Gerry Carrier"" and ""Pak-A-Poose"" baby back carriers. The carriers were manufactured between March 1979 and February 1981 and were being repaired because of a potential infant finger entrapment in the hinge mechanism on the moveable stand which supports the carrier when it is placed on a surface. The potential for entrapment occurs if the carrier's stand bar is opened while the child is in the carrier on the adult's back and the child's fingers are out of view. The Commission is aware of at least 23 incidents of finger entrapment resulting in 9 injuries. Injuries have included pinching, lacerations, and partial finger tip severance. Only carriers manufactured between March 1979 and February 1981 are involved. Carriers manufactured before or after these dates are not subject to the recall since they contain differently designed hinge mechanisms. The carrier was sold under the ""Gerry"" brand name by independent and chain retailers nationwide, as well as in U.S. Army and Air Force Exchanges. Retailers included K mart, Best Products, Woolworth, Woolco, Toys ""R"" Us and Montgomery Ward. The carrier was also sold nationwide under the label ""Pak-A-Poose"" by Sears, Roebuck and Co. The carriers sold at a price range of approximately $18-$30. To identify the product, consumers should locate the plastic brace at the bottom of the carrier. The date code of two, three or four digits is imprinted on the lower right inside portion of the brace (when facing the carrier straps). The first number is the last digit of the year the product was made. The following number or numbers on the top and bottom lines indicate what day of the year the item was manufactured (see attached drawing). Products covered by the program fall between 9/64 (the sixty-fourth day of 1979) and l/60 (the sixtieth day of 1981). All carriers with date codes beginning with the digit 0 are affected since they were made in 1980. Consumers who have these carriers should discard them. Repair parts are no longer available. Consumers who have questions about this recall may contact Evenflo's Parent Link Consumer Resource Center at (800) 233-5921. (Gerico, Inc. is out of business, but the Evenflo Company has now taken over responding to this recall).",82031,,https://www.cpsc.gov/Recalls/1982/Gerico-Baby-Back-Carriers-Recalled-Because-of-Potential-Hinge-Safety-Problem,,,,Gerico Baby Back Carriers Recalled Because of Potential Hinge Safety Problem
8858,Fuel Cups On Party Fondue Sets Recalled,Fuel,6/1/1982 0:00,,WASHINGTON,"June 1, 1982 Release # 82-025 Fuel Cups On Party Fondue Sets Recalled WASHINGTON, D.C. -- The U.S. Consumer Product Safety Commission in cooperation with Gimbel Brothers, Inc., New York, New York, is voluntarily recalling approximately 3,046 Party Fondue Sets sold in Gimbels stores in New York City, Milwaukee, Pittsburgh and Philadelphia, due to a fuel leak at the seam of the alcohol-burning fuel cup. If the fuel cup is filled above the level of the seam joining the upper and lower parts of the cup, the alcohol fuel may leak out and cause a flash fire when the heating element is ignited by a user. Gimbel Brothers has received one complaint of burn injuries sustained by a person attempting to extinguish a flash fire in October, 1980. The recall covers only fondue sets sold by Gimbels stores in packaging labeled ""Party Fondue Set."" There is no further identification on the units or on the packaging. Owners are urged not to use them until they have obtained a replacement fuel cup. The Party Fondue Sets which were made in Japan were distributed from June, 1978 through October 1, 1980 in New York City, Milwaukee, and Pittsburgh , by Gimbel Brothers, Inc., for retail prices ranging from $15.99 to $19.99. Gimbel Brothers discontinued importation and removed all units from sale in October, 1980. Consumers who own one of these fondue sets may exchange the alcohol burning pot for a solid Sterno burning pot or receive a refund in the departments where purchased in any of the Gimbel stores",82025,,https://www.cpsc.gov/Recalls/1982/Fuel-Cups-On-Party-Fondue-Sets-Recalled,,,,Fuel Cups On Party Fondue Sets Recalled
8859,Hot Tub Suction Drain Fittings Recalled by Hydro Air,Hot,5/28/1982 0:00,,WASHINGTON,"Hot Tub Suction Drain Fittings Recalled by Hydro Air NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 28, 1982 Release # 82-023 Recall Of Hot Tub, Spa, Whirlpool Suction Drain Fitting Because Of Hair Entrapment WASHINGTON, D.C. --The U.S. Consumer Product Safety Commission in cooperation with Hydro Air Industries Inc., Orange, California, today announced a voluntary recall of approximately 125,000 suction drain cover fittings for spas, hot tubs and whirlpools because of the danger of hair entrapment. Three incidents have occurred when pre-teenage girls put their heads under water and their long hair became entangled in the suction drain cover fitting. Two incidents resulted in death by drowning, and in one incident the victim was pulled free. Water is drawn from the spa through 3-5/8 inch plastic suction fitting or drain covers located on the wall of the spa l-3 inches from the bottom. A powerful strong suction exists at the water outlet suction fitting or drain cover when the high speed whirlpool suction is turned on. The Hydro Air suction drain cover fittings can be identified by the three slots on the face of the fitting cover. The middle slot measures 3/16 inches by l-1/2 inches and the two slots on either side measures 3/16 inches by l-1/4. These suction/drain cover fittings have been sold nationwide since 1979. Most sales occurred within California, Arizona, Texas and Florida. Consumers should immediately stop using their hot tubs, spas and whirlpools. They should contact the company responsible for the installation, or Hydro Air Industries, Inc. (1317 W. Grove, Orange, CA 92665, Telephone: 714-974-1920, call collect), to determine whether their unit has a defective suction/drain cover and to make arrangements for a free replacement.",82023,,https://www.cpsc.gov/Recalls/1982/Recall-Of-Hot-Tub-Spa-Whirlpool-Suction-Drain-Fitting-Because-Of-Hair-Entrapment,Creative Playthings,,Creative Playthings,Hot Tub Suction Drain Fittings Recalled by Hydro Air
8862,Vac Attachments Recalled by Sun Hill,Vac,4/22/1982 0:00,,WASHINGTON,"Vac Attachments Recalled by Sun Hill NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE April 22, 1982 Release # 82-019 1000 Sun Vac Attachments Recalled WASHINGTON, D.C. -- Sun Hill Industries, Inc. of Stamford, Connecticut, in cooperation with the U.S. Consumer Product Safety Commission, announced today that it is recalling its Sun Vac, a wet vac/dry cleaning vacuum attachment, because of a potential electric shock hazard. This product converts a regular dry vacuum cleaner to a vacuum cleaner which can pick up water or other liquids from floors and other surfaces. The product consists of a 3 l/2-gallon plastic bucket and two adapter hoses, one of which can be connected to a dry vacuum cleaner. Sun Hill Industries and the CPSC are concerned that an electric shock hazard could result if the product's bucket becomes full of water or accidentally tips over. Water could then be sucked into the vacuum cleaner, soaking the motor. This could result in a potentially severe or fatal electric shock if anyone touched a metallic part of the vacuum cleaner while standing on a wet floor. No accidents have been reported by purchasers or users of the attachment since it was first introduced in March of 1980. However, Sun Hill Industries is recalling the product in the interest of consumer safety. Sales were discontinued in February 1981, after almost 1,000 units had been distributed. Consumers who have purchased the Sun Vac are requested to return the product directly to Sun Hill Industries, Inc., Glenbrook Industrial Park, 652 Glenbrook Road, Stamford, CT 06906. Refunds for the original purchase price, and for transporting Sun Vac back to the company, will be forwarded directly to the purchaser. Consumers who have questions on return of the product or who wish further clarification should call collect Sun Hill Industries, Inc. at 203-324-7550.",82019,,https://www.cpsc.gov/Recalls/1982/1000-Sun-Vac-Attachments-Recalled,,,,Vac Attachments Recalled by Sun Hill
8864,Creative Playthings Renews Efforts To Replace Indoor Gym House Ladders After California Death,Creative,3/15/1982 0:00,,WASHINGTON,"Release # 82-008 WASHINGTON, D.C. -- Creative Playthings had renewed its efforts to replace all estimated 137,000 to 239,000 Creative Playthings Indoor Gym House ladders following a recent strangulation death. The product was manufactured prior to 1980 by Creative Playthings, a unit of Gabriel Industries, a division of CBS Inc., New York, N.Y. Consumers are urged to remove and destroy the ladder immediately. The replacement program was conducted in cooperation with the U.S. Consumer Product Safety Commission which advised the firm of the death of a two-year-old California boy on February 9, 1982, in an accident associated with a Creative Playthings Indoor Gym House. The firm first took corrective action for the product in February, 1980, after learning of an accidental death and an incident causing brain damage which later resulted in death to a child playing with the product. The firm then urged owners of the product to obtain a free replacement ladder because the original ladder posed a strangulation hazard. The Creative Playthings Indoor Gym House consists of a hollow, fiberboard-and-wood box 20 inches in height which supports a two-step wooden ladder on one side and a short slide on the opposite side. The top of the box or ""platform"" serves as a bridge between the ladder and the slide and is protected on two sides by wooden railings. The product is intended for use by children ages 18 months through 3 l/2 years, according to the manufacturer. It was sold for approximately $29 to $50 in toy stores and other retail outlets nationwide in knocked-down form to be assembled by the owner. The ladder that was being replaced was manufactured from 1962 through 1979. The gym houses with ladders that were being replaced are those with ""Creative Playthings"" printed on the side or with no lettering. The space between the upper rung of the ladder and the platform was small enough for a child's head to be inserted and become entrapped creating a potential for strangulation. The replacement ladder that had been offered by the firm was redesigned to reduce the likelihood of head entrapment. The Creative Playthings company that conducted the recall no longer exists. The replacement ladders are no longer available, and consumers should discard or destroy the ladder if they have the product. Creative Playthings had undertaken additional efforts to advise owners to destroy the old ladder. The firm sent letters and posters to pediatricians and daycare centers throughout the United States, advertised in magazines, provided a public service announcement to major networks, aimed a news campaign to consumer affairs editors, and sent advisory bulletins to organizations serving parents of young children. Creative Playthings ""Indoor Gym House",82008,,https://www.cpsc.gov/Recalls/1982/Creative-Playthings-Renews-Efforts-To-Replace-Indoor-Gym-House-Ladders-After-California-Death,,,,Creative Playthings Renews Efforts To Replace Indoor Gym House Ladders After California Death
8866,Stuffed Teddy Bear Toys Recalled by Far East International,Stuffed,2/27/1982 0:00,,WASHINGTON,"Stuffed Teddy Bear Toys Recalled by Far East International NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 27, 1981 Release # 81-009 Stuffed Teddy Bear Toy Animals Recalled To Eliminate Safety Hazards WASHINGTON, D.C. (February 27) -- An estimated 23,000 children's stuffed teddy bears distributed nationwide by a New York importer are being recalled by the importer in cooperation with the U.S. Consumer Product Safety Commission because the toys may present safety hazards which could injure young children. Testing of the toy animals by CPSC showed that a substantial percentage of the noses and eyes of the teddy bears could be pulled off easily, thus posing a potential choking hazard. The tests, simulating normal use and abuse of the toys by a young child, were performed on a random sample of the teddy bears; they have been determined to be ""banned hazardous substances"" under the Federal Hazardous Substances Act. The teddy bears were manufactured in Korea and distributed nationwide to toy stores by Far East International, Inc., of New York City. Product code tags on the potentially hazardous toys are numbered 202-50, 202-94, 202-95 or 202-219. Another label sewn to the leg of each teddy bear reads ""Sunkyung Limited. Made in Korea."" Consumers are being urged to mail their children's teddy bears directly to Far East International at 1182 Broadway, Room 901, New York, New York, 10001. The company will provide full refunds or another toy animal of comparable value and will reimburse consumers for mailing costs. The importer also will alert each of its retail customers to the safety hazards and to the procedures to be followed in carrying out the recall. The company has stopped making further shipments of these teddy bears.",81009,,https://www.cpsc.gov/Recalls/1981/Stuffed-Teddy-Bear-Toy-Animals-Recalled-To-Eliminate-Safety-Hazards,Sears,Sears,Sears,Stuffed Teddy Bear Toys Recalled by Far East International
8868,Plastic Table Lamps Warning,Plastic,12/3/1981 0:00,,WASHINGTON,"Plastic Table Lamps Warning NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 3, 1981 Release # 81-029 Consumers Warned That Four Million Plastic Lamps May Pose Electrocution Hazard WASHINGTON, D.C. ( Dec. 3 ) -- Three firms today alerted consumers that approximately four million plastic table lamps if misused or carelessly handled may pose a risk of eIectrocution or electrical shock. The warning was issued voluntarily in cooperation with the U.S. Consumer Product Safety Commission by A-Bee Syndicate, Inc., of New York, New York; B & D Molded Products, Inc., of Shelton, Connecticut; and Injection Corporation, of Plainfield, New Jersey. CPSC staff has identified these companies as manufacturers and distributors of the lamps according to definitions in the Consumer Product Safety Act. According to the firms, the lamps were designed and manufactured in conformity with existing industry practices. They could, however, pose a potential safety hazard if the lightbulb socket is dislodged or removed from the lamp base, thereby exposing two electrical terminals positioned on either side of the socket. The lamps consist of a black plastic base with three legs which supports a plastic shade covered with bubble-like protrusions. The shades were produced in three colors: white, lime-green and neon-orange. The lamps stand approximately 16 inches tall, and some were made with the name ""A-Bee"" on the smooth collar at the base of the shade. The lamps were sold nationwide for approximately $1 each in variety retail stores from 1965 through 1975, although the majority were distributed in the eastern half of the U.S. Some lamps may have been given away as promotional items. Consumers who own one of the lamps should take the following steps to determine if there is a safety hazard: Unplug the lamp; Remove the shade and turn the lamp upside down; Throw the lamp away if the bulb socket falls out of the base or is loose enough to expose the electrical terminals. Anyone requiring additional information about this warning should contact CPSC's toll-free Hotline at 800-638-2772. Warning Certain of the pictured table lamps may contain a potential electrocution or shock hazard. Each lamp consists of a black, plastic three-legged base supporting a plastic shade covered with bubble-like protrusions. The shades are available in white, neon-orange, and lime-green. The lamps were distributed from 1965 through April 1975 and sold for approximately $1.00. The lamps may often be identified through the name ""A-BEE"" which may be visible on the smooth collar on the base of the lamp's shade. If the lamp is titled or tipped, the bulb socket may dislodge from the lamp's base, thereby exposing two copper electrical terminals. Consumers should check to see if their lamp is one affected by talking the following steps: Unplug the Lamp Remove the shade from the lamp's base Turn the lamp upside down If a bulb socket works itself loose or falls out exposing the electrical terminals, the lamp should not be used. In certain of the affected table lamps, the bulb socket may not be securely fastened to the lamp's base or may have been able to work itself loose from the lamp's base. Consumers owning one of the affected lamps are warned to immediately stop use of the lamp and remove it form children's access.",81029,,https://www.cpsc.gov/Recalls/1981/Consumers-Warned-That-Four-Million-Plastic-Lamps-May-Pose-Electrocution-Hazard,,,,Plastic Table Lamps Warning
